,title,internal_id,url,description,responsibilities,qualifications,location,category,company,publish_date
1047,46501-渠道生态架构师（CSIG全资子公司）（西安）,90912,http://careers.tencent.com/jobdesc.html?postId=0,,1、为腾讯云合作伙伴提供技术咨询、云解决方案培训赋能及项目支持等专业服务； 2、与合作伙伴一起根据客户IT特性，设计基于腾讯云平台的架构方案，并帮助客户或合作伙伴进行系统迁云，提供应用迁移和数据迁移咨询服务；支持客户或合作伙伴在腾讯云平台上构建上层应用程序和服务； 3、协调后台产品、服务、运营等团队资源，对伙伴重点项目进行售前支持； 4、参与合作伙伴的技术团队建设。 （注：此岗位为腾讯集团旗下全资子公司编制岗位）,"1、本科以上学历，5年以上IT / 云计算相关工作经验，了解公有云产品或熟悉虚拟化相关技术(例如：KVM，Xen，Openstack等)。 2、有渠道生态相关工作经验，了解渠道生态职责及打法者优先； 3、了解某一个垂直行业(例如：互联网 / 金融 / 工业 / 政务 / 教育等)，主导参与过重大项目投标优先录取。 4、具备与客户的CEO,CTO、运维负责人等关键人员的沟通能力和技巧。 通过腾讯云技术认证或同等资格认证的优先录取。 5、优良的沟通能力及客户服务意识，严谨的工作态度和强烈的责任心； （注：此岗位为腾讯集团旗下全资子公司编制岗位）",Xi'an,Product,Tencent,2022-06-15
1048,46501-渠道生态架构师（CSIG全资子公司）（厦门）,91174,http://careers.tencent.com/jobdesc.html?postId=0,,1、为腾讯云合作伙伴提供技术咨询、云解决方案培训赋能及项目支持等专业服务； 2、与合作伙伴一起根据客户IT特性，设计基于腾讯云平台的架构方案，并帮助客户或合作伙伴进行系统迁云，提供应用迁移和数据迁移咨询服务；支持客户或合作伙伴在腾讯云平台上构建上层应用程序和服务； 3、协调后台产品、服务、运营等团队资源，对伙伴重点项目进行售前支持； 4、参与合作伙伴的技术团队建设。 （注：此岗位为腾讯集团旗下全资子公司编制岗位）,"1、本科以上学历，5年以上IT / 云计算相关工作经验，了解公有云产品或熟悉虚拟化相关技术(例如：KVM，Xen，Openstack等)。 2、有渠道生态相关工作经验，了解渠道生态职责及打法者优先； 3、了解某一个垂直行业(例如：互联网 / 金融 / 工业 / 政务 / 教育等)，主导参与过重大项目投标优先录取。 4、具备与客户的CEO,CTO、运维负责人等关键人员的沟通能力和技巧。 通过腾讯云技术认证或同等资格认证的优先录取。 5、优良的沟通能力及客户服务意识，严谨的工作态度和强烈的责任心； （注：此岗位为腾讯集团旗下全资子公司编制岗位）",Xiamen,Product,Tencent,2022-06-15
1049,TEG11-强化学习算法研究员（游戏AI）,91123,http://careers.tencent.com/jobdesc.html?postId=0,,负责腾讯游戏AI的算法研究和应用，包括但不限于强化学习、模仿学习、元学习等 负责设计新的强化学习算法，提高强化学习效率和效果，并结合腾讯游戏应用场景，提供技术解决方案 负责前沿技术的探索，推进强化学习在更多业务场景的应用,计算机相关专业，硕士及以上学历，3年以上相关工作经验 对机器学习、强化学习、深度学习、最优化理论等算法原理及其在互联网行业的应用有深入的理解和浓厚的兴趣，在NeurIPS、ICML、ICLR、AAAI等顶会发表论文者优先 基础扎实，编码过关，熟悉常用的算法和数据结构，熟练掌握C / C++、Java、Python等至少一门编程语言，有熟悉k8s等容器相关技术、大规模DeepLearning系统研发经验者优先 具备较强动手和快速学习能力，能够应用TF、PyTorch等主流框架实现模型搭建与算法调优,Shenzhen,Technology,Tencent,2022-06-15
1050,15573-3A开放世界RPG手游LD关卡策划（上海）,90793,http://careers.tencent.com/jobdesc.html?postId=0,,负责开放世界设计、玩法与活动设计与实现； 负责发生于开放世界上的主线剧情任务、支线剧情任务的设计与实现； 负责关卡功能和玩法，协同程序、美术和测试等相关团队完成游戏开发； 负责基于写实风格战斗的多人玩法模式的设计与实现。,本科及以上学历，3年以上相关工作经历； 参与过至少一款RPG / 动作游戏项目，并负责关卡设计工作（如有关卡作品，请附上设计稿、游戏截图或链接）； 对主机或高品质的ARPG游戏、开放世界游戏有丰富体验经历或设计心得； 对比肩3A的高品质关卡、开放世界设计方法论有浓厚兴趣、乐于学习、精益求精； 有良好的团队合作精神和沟通能力，抗压能力强； 有3A项目、开放世界项目开发经验者优先； 对写实动作类游戏的多人游戏模式（PVE、PVP）有开发经验者优先； 精通unreal游戏引擎优先。,Shanghai,Product,Tencent,2022-06-15
1051,25663-云原生架构师（北京 \ 深圳）,91119,http://careers.tencent.com/jobdesc.html?postId=0,,1. 聚焦互联网技术发展趋势，深入客户业务架构场景的痛点或需求，运用云原生技术设计并落地解决方案 / 最佳实践 2. 为云上客户业务架构的连续性提供解决方案，并在演进中协助客户落地 3. 通过案例及实践沉淀反哺云产品 / 行业产品，并推动产品标准化 / 工具化，最终帮助客户落地时降本提效 4. 协同一线售前商务，完成项目攻坚,"1. 计算相关专业本科及以上 2. 从事7年以上中大型互联网架构研发或架构或运维等工作 3. 对互联网架构设计,运维体系及运相关组件（例如:微服务相关，容器及编排相关）有深入理解或自研(或二次开发)过核心组件，具备实战经验，有解决故障及疑难杂症的方法论 4. 有设计及落地过中大型互联网架构优化 / 改造等 5. 认真仔细有客户服务意识及团队协助精神 6. 优秀的总结概括能力，表述精简到位(口头，文案) 通过腾讯云从业资格证或同等资格认证的优先录取",Shenzhen,Product,Tencent,2022-06-15
1052,25663-云原生架构师-大数据方向（北京）,91120,http://careers.tencent.com/jobdesc.html?postId=0,,1、了解大数据、AI应用产品的行业趋势，根据行业客户的战略、业务、产品及技术需求及公司内部产品布局，制定大数据、AI to B解决方案； 2、制定并维护大数据行业应用、AI行业应用产品Roadmap及行业拓展地图，有一定行业资源，能完成早期合作机会拓展； 3、负责与售前、业务拓展部门紧密合作，共同推进产品及解决方案拓展过程，包括方案交流、需求分析、解决方案设计、方案交付等； 4、负责与产品及研发部门沟通协调，促进解决方案落地，包括商务模式、项目进度、产品及服务交付等。,1、本科及以上学历，计算机相关专业优先； 2、3年以上企业级to B解决方案规划 / 咨询工作经验，有成功案例及行业客户资源优先； 3、有大数据、AI推荐、数据产品等领域B2B企业相关实战经验优先； 4、熟悉主流大数据、AI技术，了解容器、虚拟化、微服务框架等相关技术； 5、具备良好的沟通与演讲能力，思维敏捷，能够快速响应客户需求； 6、具备良好的项目管理及组织协调能力，能够承受一定强度工作压力。,Beijing,Product,Tencent,2022-06-15
1053,15573-资深UE4手游引擎开发工程师（上海）,90792,http://careers.tencent.com/jobdesc.html?postId=0,,根据项目需求，负责UE4引擎的功能和效果开发、性能优化等相关工作； 增强游戏的表现力与运行效率，对业务需求进行评估并进行方案的实现与落地； 负责游戏中性能优化相关工作，根据项目需求定制增改Unreal4引擎底层功能； 根据项目的需求搭建高效的内容制作管线，提高团队的研发效率； 关注业界新技术，根据项目的需求预研并应用到项目的后续开发中。,本科及以上学历； 5年以上游戏开发经验，2年以上UE4引擎开发经验，深刻理解3D游戏引擎架构； 熟练掌握3D图形渲染技术与引擎框架，精通Shader相关开发，有PBR渲染相关经验的优先； 熟悉渲染、动画、物理等核心模块的实现； 有3D引擎性能分析和优化经验； 对游戏引擎技术有热情，熟悉游戏技术趋势和最新技术应用者优先； 具备良好的分析与解决问题的能力； 有高度的责任心与敬业精神，良好的沟通与团队协作能力。,Shanghai,Technology,Tencent,2022-06-15
1054,31506-腾讯云业务安全售前架构师,90386,http://careers.tencent.com/jobdesc.html?postId=1515884707181502464,,1、了解内容风控、广告风控、版权保护等安全产品。有B端售前工作经验，可以进行B端产品的商业化设计和运营拓展工作； 2、根据用户需求，协助用户进行腾讯内容风控等安全产品的测试，能有效收集行业及用户需求，并进行调研分析，不断优化产品及方案，提升产品及方案的核心竞争力。 3、负责广电传媒、文旅等传统行业的商业化指标达成任务。,1、本科及以上学历，3年以上相关工作经验 2、广电传媒等行业及风控风向从业者优先，有内容安全从业背景者优先 3、有灵敏市场嗅觉及行业经验，具备优秀的信息整合、逻辑组织和观点提炼的能力，能高效推动目标达成 4、工作富有热情，责任感强，有良好的沟通协调能力、团队合作精神及开放的心态,Beijing,Product,Tencent,2022-06-15
1055,40930-智慧交通行业产品策划（CSIG全资子公司）,91116,http://careers.tencent.com/jobdesc.html?postId=0,,1. 负责智慧交通数字平台建设，以及面向泛交通领域行业应用的技术产品策划、设计，能够结合市场发展趋势，设计平台产品和管理运营工具，支撑业务的生产、运营需求； 2. 基于对交通行业的理解判断，设计符合行业发展和客户需求痛点的产品功能和解决方案，并推动内外部资源整合和方案的落地； 3. 保证产品研发项目的有效执行，对产品效果进行跟踪、数据分析、平台维护，能够主动探索行业，挖掘用户需求，持续推动产品优化； 4. 负责面向客户的产品售前支持以及产品交付支持； 此岗位为腾讯集团旗下全资子公司编制岗位,1. 本科以上学历，电子、计算机、信息工程、软件、通信等相关专业； 2. 五年以上平台型产品规划、设计、研发经验。参与过地铁、民航、港口等交通领域大型信息化系统建设项目者优先； 3. 具备敏锐的用户洞察力和产品策划设计能力，能精准把握用户心态，建立用户与产品之间的沟通桥梁，创新思维及内外部资源整合能力突出； 4. 业务理解和学习能力强，对工作有负责到底的态度，做事细心、踏实，执行力强。心态开放，善于沟通表达，做事积极主动，团队协作能力强；,Xi'an,Product,Tencent,2022-06-15
1056,43475-海外广告制片-KOL方向,91114,http://careers.tencent.com/jobdesc.html?postId=0,,"1. 负责在Youtube, Tiktok等社交媒体上寻找合适的KOL进行广告创意合作 2. 根据产品卖点和KOL特色为产品定制广告创意，并产出视频素材 3. 和投放同学一起对创意方向和创意形式进行优化，为视频表现负责",1. 2年以上海外营销、投放、创意方向工作经验，1年以上海外KOL合作经验 2. 良好的英文读写能力，有海外留学和工作经验优先 3. 游戏玩家，热爱社交媒体，喜欢看各类广告创意,Shanghai,Marketing & Public Relations,Tencent,2022-06-15
1057,43475-资深海外广告制片-真人方向,91115,http://careers.tencent.com/jobdesc.html?postId=0,,1. 负责海外游戏真人剧情类广告产出，包含创意设计，脚本分镜，外包拍摄，后期制作到最终成品的验收 2. 和投放同学一起对创意方向和创意形式进行优化，为视频表现负责 3. 结合市场变化与用户需求，不断挖掘新的创意，提升素材品质,1. 3年以上海外UA广告制片经验，1年以上真人广告制作经验 2. 良好的英文读写能力，能够与海外供应商直接沟通，有海外留学和工作经验优先 3. 游戏玩家,Shanghai,Marketing & Public Relations,Tencent,2022-06-15
1058,43475-资深海外广告制片-2D / 3D方向,91111,http://careers.tencent.com/jobdesc.html?postId=0,,1. 负责海外游戏视频广告创意策划与制作，能够独立完成从视频广告的剧本设计（画面及配音）、制片流程管理到视频验收 2. 与投放同学配合挖掘素材方向，优化广告效果，为素材结果负责 3. 结合市场变化与用户需求，不断挖掘新的创意，提升素材品质,1. 丰富的UA广告制作经验，能把控从创意到分镜到制作的全流程工作 2 熟悉海外媒体平台的广告要求和用户习惯，对广告素材趋势有个人见解 3. 资深游戏玩家,Shanghai,Marketing & Public Relations,Tencent,2022-06-15
1059,43475-资深Facebook投放经理,91112,http://careers.tencent.com/jobdesc.html?postId=0,,1. 负责游戏产品的Google广告投放，能够针对不同产品和目标市场制定投放计划，为结果负责 2. 定期产出广告素材创意，并与美宣部门沟通配合确保创意完整输出 3. 跟踪和分析投放数据，提供分析报告，根据需要持续改进和优化,1. 3年以上海外广告投放经验，2年以上Google手游投放经验，对Google各类广告极其了解 2. 游戏玩家，热爱游戏 3. 结果导向，逻辑清晰，具有复盘和思辨思维 4. 有日消耗$10万以上经验优先,Shanghai,Marketing & Public Relations,Tencent,2022-06-15
1060,43475-资深Google投放经理,91113,http://careers.tencent.com/jobdesc.html?postId=0,,1. 负责游戏产品的Facebook广告投放，能够针对不同产品和目标市场制定投放计划，为结果负责 2. 定期产出广告素材创意，并与美宣部门沟通配合确保创意完整输出 3. 跟踪和分析投放数据，提供分析报告，根据需要持续改进和优化,1. 3年以上海外广告投放经验，2年以上Google手游投放经验，对Google各类广告极其了解 2. 游戏玩家，热爱游戏 3. 结果导向，逻辑清晰，具有复盘和思辨思维 4. 有日消耗$10万以上经验优先,Shanghai,Marketing & Public Relations,Tencent,2022-06-15
1061,43475-资深Network投放经理,91110,http://careers.tencent.com/jobdesc.html?postId=0,,1. 负责游戏产品的Network广告投放（CPE、Video Network、ASM等） 2. 针对不同渠道制定投放策略，为结果负责 3. 持续测试、评估和优化投放方法，如新渠道资源、新优化点位、新工具等 4. 定期产出广告素材创意，并与美宣部门沟通配合确保创意完整输出,1. 3年以上海外广告投放经验，1年以上Network投放经验 2. 游戏玩家，热爱游戏 3. 结果导向，数理分析能力好，沟通能力佳 4. 有日消耗$10万以上经验优先,Shanghai,Marketing & Public Relations,Tencent,2022-06-15
1062,31504-中间件技术支持工程师（CSIG全资子公司）,91029,http://careers.tencent.com/jobdesc.html?postId=0,,不同于传统技术支持岗位，本岗位聚焦于多集群、分布式的云计算场景下，云产品问题的技术支持工作。 1、为客户提供消息队列 / 无服务函数 / 应用服务框架等中间件相关云产品的技术支持，负责疑难问题的快速定位、分析解决； 2、与后端技术团队对接，根据客户反馈的问题推动云产品Bug修复、架构方案优化。推进后台诊断工具、用户侧自主化诊断工具的落地； 3、整理输出官方技术文档与解决方案，指导用户合理使用云产品。,1、本科及以上学历，计算机或相关专业；3年以上JAVA开发等相关技术开发经验，能独立完成复杂的疑难问题排查，并善于总结与赋能，且具备优秀的与客户沟通能力。 2、熟悉常见的开源中间件包括但不限于Kafka，rabbitmq，gateway等的开源架构、底层原理，对某个技术方向有垂直化的深入研究。 3、具有优秀的沟通能力、团队合作经验、敬业精神和学习能力，有较强的应变能力与适应能力，具备较强的抗压能力与执行力。 4、至少熟悉一种微服务框架，比如Spring Cloud、Dubbo、Service Mesh等，对微服务框架的原理、技术细节深入了解，并有落地的项目经验。 5、熟悉掌握容器Docker和Kubernetes的使用，有Docker和Kubernetes的运维经验。有paas平台的开发或者运维经验的优先，熟悉serverless的优先。 注：此岗位为腾讯集团旗下全资子公司编制岗位,Chongqing,Product,Tencent,2022-06-15
1063,Senior IT Engineer (Dubai),5241241002,https://boards.greenhouse.io/tencent/jobs/6080369002,,"Position Overview: Tencent Overseas IT has the mission to empower Tencent’s rapid global growth with future ready, global IT platforms, applications, and services. We are chartered to lead the Overseas IT strategy, architecture, roadmap, and execution. Satisfying our internal / external customers and becoming a world class global IT team are our top aspirations. We are currently seeking a passionate IT Manager, Reporting to Tencent’s APAC IT Center, this position will be based in Dubai. You will work closely with our Overseas IT, HQ IT, HR, finance and various business teams, this position will play a critical role to support all business across Dubai and other geo-locations, provide the best IT solutions and user experience for Tencent employees, as well as affiliate users. Your main responsibilities are high-quality system maintenance, IT product support and system user support, while being able to work closely with business users, IT development teams, undertake missions and work independently to complete various tasks. If you have programming skills and keen on developing / adopting automation tools and cloud solutions, you find the right place. Primary Responsibilities - Collaborate with HR, Admin and Operations team to provide the best IT solutions and user experience for Tencent employees, as well as affiliate users. - Provide support, troubleshooting and resolve problems to meet end user ‘s satisfaction, including IT hardware, IT systems, business platforms and applications. - Participate in the implementation of global IT projects of Tencent Overseas IT, and can adapt to the local business need of Dubai, and contribute to the output of Dubai IT products and solutions. - Be the expert and first point of contact for a certain product and area of IT, such as cloud products, business systems, network or infrastructure. - Proactive attitude, able to accept the mission and execute it independently, strong sense of ownership - Can use scripting languages, support automated system deployment and operation & maintenance practices in Dubai IT team. - Work with business department to coordinate important system maintenance, changes and IT requirements from business side. - Support R&D lab servers, including server installation, configuration and daily maintenance. - Align with continuous improvement program focused on business value, process optimization, cost avoidance, cost reductions and IT “Speed to Market. ” - Consolidate overseas IT knowledge documents in one place for overseas users’ self-help and regional peer support. - Other IT tasks arranged by the management team including IT office build / infrastructure project, system deployment, changes and upgrades, etc.","Who we are looking for: -A all-rounder, who's technical enough to understand the full picture of overall IT projects and operations, and able to have it managed and delivered with positive outcomes in a fast-paced tech environment. -A seasoned IT manager who has solid Project management skills with a proven track records in global IT project and operations delivery, who can thrive and stay on top of things to make things happen in a dynamic environment. -A relationship manager who can build good relationship with local businesses / users to understand their needs and pain points and have them addressed in a timely and effectively manner. -A hands-on person who can roll up the sleeve and get his / her hands dirty to make things work while needed and putting customer's need at first. - Self-motivated, articulate, passionate to deliver the best result and achieve the highest customer satisfaction. Quick learner. - Love satisfying customers with a state-of-the-art cloud solution, automation, realizing ideas, building services, and unlocking the potential of new technology! - Collaborative, independent, insistent, flexible, and open-minded. And you see no conflict in any of these things. - Knowledgeable, resourceful and show initiative. You always keep the customer’s objectives in mind. - Positive by nature, a great team player, and both dependable and autonomous. - Customer-oriented and could work at a very fast pace. Qualifications: - Bachelor’s degree in Business (Management Information Systems), Computer Science, Business (Other) or equivalent. - 5+ years of working experience in providing technical IT system support to ensure smooth and effective delivery of IT services. - 5+ years of experience working with global IT teams and delivering towards global+local business / IT needs. - 2 + years of experience in software development and knowledge of development methodologies. - Experience with a variety of programming languages such as C, Java or python. - Strong knowledge of ITIL Service Management concepts and experience managing ITIL processes - Knowledge of collaborative productivity tools, for example, but not limited to, instant messaging, collaboration, workspace, knowledge management, issue resolution, ticketing is preferred. - Knowledge of IT compliance and global regulations in data security, cyber security, and privacy is preferred. - Experience with ServiceNow, Workday, Jamf, Faronics, Slack, WeCom is preferred. - Fluent in Local language, English, Chineseis preferred but not required, in order to communicate with teams located in different countries.",Dubai,Product,Tencent,2022-06-15
1064,27260-机电工程师,73151,http://careers.tencent.com/jobdesc.html?postId=1363707283153887232,,编制、审核项目建设计划及机电施工管理和工艺技术标准要求； 项目驻场管理，及时发现和协调解决项目进度、质量和安全等问题； 收集、分析项目施工相关数据与各类信息； 审核项目深化设计、施工方案、监理规划、签证、变更、日报、月报等； 协调内外部项目建设各方关系，跟进和办理项目报建报批、竣工验收等相关证照和手续； 根据需要对项目提供施工技术支持，解决施工技术问题。,本科及以上学历，机电、工民建、工程管理等相关专业； 有机电、弱电安装和装修相关专业知识优先； 熟悉国家施工规范、施工工艺及施工验收等要求； 熟练应用acad、word、project等应用软件； 具有较强的计划和判断能力，具备专业处理问题的能力； 责任心强，吃苦耐劳，有良好的团队协作精神； 可长期出差外地办公；,Shenzhen,Administration,Tencent,2022-06-15
1065,27260-高级电气设计工程师,63240,http://careers.tencent.com/jobdesc.html?postId=1275639090162704384,,参与大型综合园区项目或建筑单体项目的前期需求调研； 参与工程项目定位，协助完成项目总体规划； 制订大型综合园区项目或建筑单体项目的电气专业规划设计要求； 管理及审核电气专业设计质量及进度 ；配合其他专业同事完成项目全过程全专业设计管理工作； 配合其他专业同事处理项目施工过程中涉及的电气及与电气相关的设计工作； 协助项目报批报建及验收； 就本专业问题负责与设计院及审图公司及政府相关部门联系。,本科以上学历，电气设计类相关专业； 建筑行业相关工作经验，有设计院大型综合园区、办公、公共建筑项目电气设计工作经验，或有业主方大型综合园区、办公、公共建筑项目电气专业设计管理经验，或有顾问公司大型综合园区、办公、公共建筑项目电气专业顾问经验； 有注册电气工程师证优先； 熟悉电气专业国家及本地与本专业有关的规范要求； 熟练使用AUTOCAD等设计应用软件； 熟悉常用电气设备性能；了解机电设备安装、调试、验收操作流程； 熟悉建筑节能及绿建体系要求； 具备较熟练管理、协调、沟通能力及技巧； 责任心强，吃苦耐劳，有良好的团队协作精神，可中短期出差外地办公；,Shenzhen,Administration,Tencent,2022-06-15
1066,27260-资深规划建筑设计师（深圳）,72989,http://careers.tencent.com/jobdesc.html?postId=1359083106920833024,,组织大型综合园区项目或建筑单体项目的前期需求调研； 参与大型综合园区项目或建筑单体项目的前期规划及建筑条件可行性分析； 制订大型综合园区项目规划指标及单体建筑要求； 管理及审核建筑专业设计质量及进度； 配合其他专业同事完成项目全过程全专业设计管理工作； 配合其他专业同事处理项目施工过程中涉及的建筑相关的设计工作； 协助项目报批报建及验收； 就本专业问题负责与设计院及审图公司及政府相关部门联系。,本科以上学历，规划或建筑设计类相关专业； 熟悉规划专业及建筑国家及本地与本专业有关的规范要求； 熟练使用AUTOCAD等应用软件； 熟悉建筑节能及绿建体系要求； 具备较熟练管理、协调、沟通能力及技巧； 责任心强，吃苦耐劳，有良好的团队协作精神，可中短期出差外地办公； 认同腾讯企业文化； 正直、尽责，良好的学习能力； 人际沟通能力及团队合作精神。,Shenzhen,Administration,Tencent,2022-06-15
1067,27260-精装修工程岗,73773,http://careers.tencent.com/jobdesc.html?postId=1366286637033594880,,负责装修专业施工图及专项深化设计的管理； 负责装修工程的安全、质量、进度、成本以及项目现场的文明施工管理工作； 负责装修专业贯彻实施项目管理体系文件的各项内容； 负责对本专业工程资料、施工方案、设计及变更进行审查、把关； 负责对装修专业设计单位和顾问公司的管理； 负责组织对本专业技术、方案以及现场问题的论证和协调处理工作； 负责装修专业与其它专业的协调配合工作； 负责装修专业工作管理和监督检查工作，发现相关重要技术问题及时向项目经理汇报；,本科及以上学历，工民建、土木工程、机电或电气等相关专业； 具有8年及以上房地产企业工程管理与装饰工程管理工作经验； 对房地产行业工程管理与装饰装修工程管理全过程有较全面的理解与掌握； 熟练掌握WORD、EXCEL、POWERPOINT等办公软件、CAD绘图软件及Project软件； 具备较强的沟通及协调能力； 责任心强，吃苦耐劳，有良好的团队协作精神。,Shenzhen,Administration,Tencent,2022-06-15
1068,27260-给排水工程岗,73776,http://careers.tencent.com/jobdesc.html?postId=1366286741283020800,,编制给排水工程技术标准、内部验收标准、分项作业指导书及交付标准； 选择、评价及管理给排水工程施工单位； 审核给排水工程的施工方案与施工样板方案等； 组织给排水工程深化设计； 管理给排水工程施工过程中的安全文明、质量、进度及成本； 管理权限范围内工程变更，对接给排水设计师； 参与给排水工程日常抽查，组织给排水工程验收； 参与项目内部验收、竣工验收及交付管理。,本科及以上学历，给排水相关专业； 具有8年及以上给排水专业设计、工程管理工作经验； 对工程项目给排水专业工程有全面的理解与掌握，熟悉工程项目管控流程； 具备较强的管理、沟通及协调能力，思维开阔，具有创新意识； 熟练掌握WORD、EXCEL、POWERPOINT等办公软件、CAD绘图软件及Project软件； 责任心强，吃苦耐劳，有良好的团队协作精神。,Shenzhen,Administration,Tencent,2022-06-15
1069,27260-高级幕墙设计师,87212,http://careers.tencent.com/jobdesc.html?postId=1470970787321094144,,1、组织幕墙设计的前期需求调研； 2、制订幕墙设计的目标，编制幕墙工程的设计计划，参与施工计划编制等； 3、负责幕墙专业的设计管理工作，沟通协调并督促幕墙设计顾问单位按要求完成幕墙招标图；配合其他专业同事进行专业间协调；对项目各阶段幕墙设计方案进行审核优化；实现预期的幕墙外立面设计效果； 4、负责与政府相关部门及外部合作单位就幕墙专业进行沟通协调； 5、参与幕墙工程的材料样板选型； 6、监控建筑幕墙施工效果，配合其他专业同事处理项目施工过程中涉及的幕墙相关问题； 7、协助项目进行幕墙招标、报审及验收工作；,1、本科以上学历，幕墙设计类相关专业； 2、熟悉国家及华南地区幕墙专业有关的规范要求， 熟练使用AUTOCAD、Photoshop、Sketchup等设计应用软件； 3、有业主方参与商业办公综合体开发项目，相关幕墙设计专业管理工作经验; 4、熟悉绿建要求，熟悉商业办公综合体、酒店等公建幕墙工程，熟悉负责建筑形体，特殊幕墙材料，大尺度、圆弧曲线等高难度幕墙设计，有与境外建筑设计事务所合作经验优先； 5、正直、尽责，良好的学习能力，良好的人际沟通能力及团队合作精神，责任心强，吃苦耐劳，可中短期出差外地办公。,Shenzhen,Administration,Tencent,2022-06-15
1070,27260-幕墙工程岗,88489,http://careers.tencent.com/jobdesc.html?postId=1485133368017297408,,编制幕墙工程技术标准、幕墙内部验收标准； 选择、评估及管理幕墙工程施工单位； 审查幕墙工程的施工方案、施工样板方案等； 组织幕墙工程深化设计； 管理幕墙工程施工过程中的安全文明、质量、进度及成本； 管理权限范围内工程变更，对接幕墙设计师; 参与幕墙工程日常抽查与组织幕墙工程验收; 参与项目内部验收、竣工验收及交付管理。,本科及以上学历，工民建、机械等相关专业； 具有8年及以上幕墙工程专业设计、工程管理工作经验； 熟悉工程项目管控流程； 对工程项目类幕墙工程管理全过程有较全面的理解与掌握； 具备较强的管理、沟通及协调能力，思维开阔，具有创新意识； 熟练掌握WORD、EXCEL、POWERPOINT等办公软件、CAD绘图软件及Project软件； 责任心强，吃苦耐劳，有良好的团队协作精神。,Shenzhen,Administration,Tencent,2022-06-15
1071,52669-资深海外游戏广告优化师 / 组长,88760,http://careers.tencent.com/jobdesc.html?postId=1491582541382033408,,- 负责游戏产品在不同平台和渠道的广告投放，包括广告策略的制定，执行，成本的优化等； - 熟悉海外游戏主流媒体投放逻辑和玩法，能通过持续引入媒体数据和技术能力，改善推广效率； - 定期输出负责渠道 / 区域市场的投放分析总结，为游戏产品的长线增长提供数据参考； - 监控和分析数据，通过项目数据复盘定位问题，持续迭代，提升投放规模和投放效率。 - 与创意团队及时沟通素材创意优化，跟进落地，提升投放效率。,1. 5年以上海外效果广告投放经验，1年以上海外游戏投放经验； 2. 熟悉Google / Facebook等主要平台广告投放策略； 3. 参与过不止一款游戏全生命周期的海外投放，有扎实的优化项目经验； 4. 数据敏感度高，善于复盘分析，输出优化方案； 5. 具备良好的团队协作能力和项目推进能力； 6. 自我驱动，善于学习。,Shenzhen,Marketing & Public Relations,Tencent,2022-06-15
1072,15575-《王者荣耀》引擎工具开发工程师（性能&基础体验）（生态方向）（成都）,79989,http://careers.tencent.com/jobdesc.html?postId=1410071250683830272,,负责美术场景，英雄皮肤美术规范的制定和制作工具能力的建设； 负责美术场景，英雄皮肤等的美术品质的提升； 负责渲染流程以及算法的优化，保障产品的渲染性能； 负责商业引擎的开发与扩展（动画，物理，光照，资源管理等）； 紧跟业界技术发展，预研前沿方案，将新技术应用落地到产品中并且产生实际价值；,本科及以上学历，精通C / C++，具备扎实的数据结构和算法基础，熟悉常用设计模式； 3年以上3D引擎开发经验，一年以上渲染相关开发和优化经验； 熟悉游戏引擎架构，在渲染，动画，物理，性能优化，管线流程中某一领域有丰富经验； 有丰富的引擎开发实践经验，了解关键技术原理，有实际的二次开发和维护经验更佳； 责任心强，善于沟通，对游戏前沿技术应用抱有热情；,Chengdu,Technology,Tencent,2022-06-15
1073,15575-《王者荣耀》高级引擎开发工程师-UE方向（成都）,88438,http://careers.tencent.com/jobdesc.html?postId=1484091069720174592,,"负责游戏客户端引擎技术研发与维护； 产品需求的技术可行性评估, 程序框架及技术方案的设计和具体实现； 协助美术 / TA建立高效的数字资产制作规范和流程, 完善并持续优化生产管线； 跟踪数字化前沿技术并做落地探索能","3年以上C / C++及游戏客户端研发经验, 深度使用过UE进行大项目开发，对UE有定制化和扩展经验更佳, 对游戏研发相关技术有系统的了解并保持学习和关注； 扎实的算法和数学基础, 系统全面的软件研发领域知识； 具备良好的分析解决问题能力, 责任心强, 有较高的自我管理和任务跟进推动能力； 在框架设计、离线CG影视、动画、物理模拟、游戏AI、网络同步等其中某些技术领域有丰富的经验；。 出色的学习和技术研究应用能力, 良好的团队协作能力, 善于沟通, 敬业专注； 具备良好的分析解决问题能力, 责任心强, 有较高的自我管理和任务跟进推动能力； 热爱游戏，对游戏各方面的前沿技术饱有热情。",Chengdu,Technology,Tencent,2022-06-15
1074,22989-Linux内核 / 虚拟化 / 容器工程师（CSIG全资子公司）（西安 / 武汉）,77740,http://careers.tencent.com/jobdesc.html?postId=1392673167310331904,,"研发前沿Linux内核、虚拟化和容器技术, 包括并不限于Linux内核核心子系统、KVM、cgroup等; 面向开源社区, 将技术成果贡献到开源社区, 提高腾讯云在开源社区和业界的技术影响力。","在一个或多个Linux内核子系统或领域有一定积累, 比如调度器、内存、网络、存储、文件系统、KVM、cgroup等; 对社区比较熟悉、有社区补丁贡献经验者优先。  注：此岗位为腾讯集团旗下全资子公司编制岗位 通过腾讯云从业资格证或同等资格认证的优先录取",Xi'an,Technology,Tencent,2022-06-15
